,Unnamed: 0.1,Unnamed: 0,Item,Cost,size,Likes,ImgLink,Wear,Category
83,83,36,Nike Dunk Low Black White Panda (DD1391-100) Men's Size 8-11.5,169.0,,,https://i.ebayimg.com/thumbs/images/g/8QwAAOSwVHhj~nxN/s-l300.jpg,Brand New,Brand New
123,123,76,Nike Air Jordan 1 Retro High OG Craft Vibrations Of Naija FD8631-100 Mens New,162.99,,,https://i.ebayimg.com/thumbs/images/g/TxgAAOSwNjNkaA6b/s-l300.jpg,Brand New,
32,32,32,Nike Dunk Low Retro White Black,153.0,Size: Various,20.0,,,
127,127,80,Brand New Nike Air Jordan 1 Mid White Black Red Bred Toe 554724-079 Men's + GS,150.0,,,https://i.ebayimg.com/thumbs/images/g/SLAAAOSwvwFj03Zt/s-l300.jpg,Brand New,
1,1,1,NWOT ... NIKE FREE RN FLYKNIT 3.0 LACELESS SLIP-ON SHOES / SNEAKERS 👟,150.0,Size: 10.5,,https://di2ponv0v5otw.cloudfront.net/posts/2023/01/29/63d6930cb635f861ae4aa84c/s_63d69341f644e5be6958ed93.jpg,,
102,102,55,Nike Air Jordan 6 Retro Toro Bravo Red CT8529-600 Men’s or GS Shoes NEW IN HAND,149.99,,,https://i.ebayimg.com/thumbs/images/g/sEQAAOSwi5NkbThM/s-l300.jpg,Brand New,Brand New
90,90,43,Nike Air Jordan 1 Low Black Medium Particle Grey White Men AJ1 Shoes 553558-040,149.99,,,https://i.ebayimg.com/thumbs/images/g/HIMAAOSwdxpkJnLL/s-l300.jpg,Brand New,Brand New
70,70,23,BRAND NEW Men's Nike AIR MAX PLUS Casual Shoes ALL COLORS US Sizes 7-14 NIB,149.95,,,https://i.ebayimg.com/thumbs/images/g/20IAAOSwlhJkStpS/s-l300.jpg,Brand New,Brand New
72,72,25,Nike Air Jordan 6 Retro Shoes Toro Bravo Red Black CT8529-600 Men's or GS NEW,142.99,,,https://i.ebayimg.com/thumbs/images/g/4YcAAOSwzl1kbMdy/s-l300.jpg,Brand New,Brand New
48,48,1,Nike Air Jordan 1 Low Men's Triple White Multi Size New 553558-136,141.95,,,https://i.ebayimg.com/thumbs/images/g/6pQAAOSwJW5jpNzw/s-l300.jpg,Brand New,Brand New
86,86,39,"Nike Air Jordan 1 Low Shoes ""True Blue"" White Cement Gray 553558-412 Men's NEW",139.99,,,https://i.ebayimg.com/thumbs/images/g/NmoAAOSwrOVkXRPk/s-l300.jpg,Brand New,Brand New
105,105,58,Nike Air Jordan 2 Retro Cement Grey 2023 DR8884-100 Men's New,139.97,,,https://i.ebayimg.com/thumbs/images/g/FlwAAOSwZItkcR5F/s-l300.jpg,Brand New,Brand New
